queryItem,queryIndex,stringId,ncbiTaxonId,taxonName,preferredName,annotation,gene_set
C6ORF165,29,9606.ENSP00000358575,9606,Homo sapiens,CFAP206,Cilia- and flagella-associated protein 206; May regulate cilium motility through its role in the assembly of the axonemal radial spokes.,robust_mrna_strict
C9ORF135,30,9606.ENSP00000366402,9606,Homo sapiens,C9ORF135,Protein C9orf135; Chromosome 9 open reading frame 135.,robust_mrna_strict
CACNA2D2,31,9606.ENSP00000418081,9606,Homo sapiens,CACNA2D2,"Voltage-dependent calcium channel subunit alpha-2/delta-2; The alpha-2/delta subunit of voltage-dependent calcium channels regulates calcium current density and activation/inactivation kinetics of the calcium channel. Acts as a regulatory subunit for P/Q- type calcium channel (CACNA1A), N-type (CACNA1B), L-type (CACNA1C OR CACNA1D) and possibly T-type (CACNA1G). Overexpression induces apoptosis.",robust_mrna_strict
CAPN13,32,9606.ENSP00000295055,9606,Homo sapiens,CAPN13,Calpain-13; Probable non-lysosomal thiol-protease.,robust_mrna_strict
CAPS,33,9606.ENSP00000498855,9606,Homo sapiens,CAPS,Calcyphosin; Calcium-binding protein. May play a role in cellular signaling events (Potential).,robust_mrna_strict
CAPSL,34,9606.ENSP00000380524,9606,Homo sapiens,CAPSL,Calcyphosin-like protein; Calcyphosine like.,robust_mrna_strict
CASC1,35,9606.ENSP00000379310,9606,Homo sapiens,CASC1,Protein CASC1.,robust_mrna_strict
CCDC11,36,9606.ENSP00000381553,9606,Homo sapiens,CFAP53,Cilia- and flagella-associated protein 53; May play a role in the beating of primary cilia and thereby be involved in the establishment of organ laterality during embryogenesis.,robust_mrna_strict
CCDC113,37,9606.ENSP00000219299,9606,Homo sapiens,CCDC113,Coiled-coil domain-containing protein 113; Component of centriolar satellites contributing to primary cilium formation.,robust_mrna_strict
CCDC146,38,9606.ENSP00000285871,9606,Homo sapiens,CCDC146,Coiled-coil domain containing 146.,robust_mrna_strict
CCDC17,39,9606.ENSP00000432172,9606,Homo sapiens,CCDC17,Coiled-coil domain containing 17.,robust_mrna_strict
CCDC170,40,9606.ENSP00000239374,9606,Homo sapiens,CCDC170,Coiled-coil domain containing 170.,robust_mrna_strict
CCDC173,41,9606.ENSP00000391504,9606,Homo sapiens,CCDC173,Coiled-coil domain containing 173.,robust_mrna_strict
CCDC60,42,9606.ENSP00000333374,9606,Homo sapiens,CCDC60,Coiled-coil domain containing 60.,robust_mrna_strict
CCDC80,43,9606.ENSP00000206423,9606,Homo sapiens,CCDC80,Coiled-coil domain-containing protein 80; Promotes cell adhesion and matrix assembly.,robust_mrna_strict
CCL13,44,9606.ENSP00000225844,9606,Homo sapiens,CCL13,"C-C motif chemokine 13, medium chain; Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils, but not neutrophils. Signals through CCR2B and CCR3 receptors. Plays a role in the accumulation of leukocytes at both sides of allergic and non-allergic inflammation. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis. May play a role in the monocyte attraction in tissues chronically exposed to exogenous pathogens; Belongs to the intercrine beta (chemokine CC) family.",robust_mrna_strict
CCL18,45,9606.ENSP00000479955,9606,Homo sapiens,CCL18,"C-C motif chemokine 18; Chemotactic factor that attracts lymphocytes but not monocytes or granulocytes. May be involved in B-cell migration into B- cell follicles in lymph nodes. Attracts naive T-lymphocytes toward dendritic cells and activated macrophages in lymph nodes, has chemotactic activity for naive T-cells, CD4+ and CD8+ T-cells and thus may play a role in both humoral and cell-mediated immunity responses.",robust_mrna_strict
CD24,46,9606.ENSP00000481841,9606,Homo sapiens,CD24,"Signal transducer CD24; May have a pivotal role in cell differentiation of different cell types. Signaling could be triggered by the binding of a lectin- like ligand to the CD24 carbohydrates, and transduced by the release of second messengers derived from the GPI-anchor. Modulates B-cell activation responses. Promotes AG-dependent proliferation of B-cells, and prevents their terminal differentiation into antibody-forming cells. In association with SIGLEC10 may be involved in the selective suppression of the immune response to danger-associated molecular patterns (DAMPs) such as HMGB1, [...] ",robust_mrna_strict
CDH2,47,9606.ENSP00000269141,9606,Homo sapiens,CDH2,"Cadherin-2; Calcium-dependent cell adhesion protein; preferentially mediates homotypic cell-cell adhesion by dimerization with a CDH2 chain from another cell. Cadherins may thus contribute to the sorting of heterogeneous cell types. Acts as a regulator of neural stem cells quiescence by mediating anchorage of neural stem cells to ependymocytes in the adult subependymal zone: upon cleavage by MMP24, CDH2-mediated anchorage is affected, leading to modulate neural stem cell quiescence. CDH2 may be involved in neuronal recognition mechanism. In hippocampal neurons, may regulate dendritic s [...] ",robust_mrna_strict
CDH3,48,9606.ENSP00000264012,9606,Homo sapiens,CDH3,Cadherin-3; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types.,robust_mrna_strict
CDHR3,49,9606.ENSP00000325954,9606,Homo sapiens,CDHR3,Cadherin-related family member 3; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types.,robust_mrna_strict
CFH,50,9606.ENSP00000356399,9606,Homo sapiens,CFH,"Complement factor H; Glycoprotein that plays an essential role in maintaining a well-balanced immune response by modulating complement activation. Acts as a soluble inhibitor of complement, where its binding to self markers such as glycan structures prevents complement activation and amplification on cell surfaces. Accelerates the decay of the complement alternative pathway (AP) C3 convertase C3bBb, thus preventing local formation of more C3b, the central player of the complement amplification loop. As a cofactor of the serine protease factor I, CFH also regulates proteolytic degradati [...] ",robust_mrna_strict
CHST9,51,9606.ENSP00000480991,9606,Homo sapiens,CHST9,"Carbohydrate sulfotransferase 9; Catalyzes the transfer of sulfate to position 4 of non- reducing N-acetylgalactosamine (GalNAc) residues in both N-glycans and O-glycans. Participates in biosynthesis of glycoprotein hormones lutropin and thyrotropin, by mediating sulfation of their carbohydrate structures. Has a higher activity toward carbonic anhydrase VI than toward lutropin. Only active against terminal GalNAcbeta1,GalNAcbeta. Isoform 2, but not isoform 1, is active toward chondroitin.",robust_mrna_strict
CLCA2,52,9606.ENSP00000359596,9606,Homo sapiens,CLCA2,"Calcium-activated chloride channel regulator 2, 109 kDa form; Plays a role in modulating chloride current across the plasma membrane in a calcium-dependent manner, and cell adhesion. Involved in basal cell adhesion and/or stratification of squamous epithelia. May act as a tumor suppressor in breast and colorectal cancer. Plays a key role for cell adhesion in the beginning stages of lung metastasis via the binding to ITGB4. Belongs to the CLCR family.",robust_mrna_strict
CLDN1,53,9606.ENSP00000295522,9606,Homo sapiens,CLDN1,"Claudin-1; Claudins function as major constituents of the tight junction complexes that regulate the permeability of epithelia. While some claudin family members play essential roles in the formation of impermeable barriers, others mediate the permeability to ions and small molecules. Often, several claudin family members are coexpressed and interact with each other, and this determines the overall permeability. CLDN1 is required to prevent the paracellular diffusion of small molecules through tight junctions in the epidermis and is required for the normal barrier function of the skin. [...] ",robust_mrna_strict
CLEC4E,54,9606.ENSP00000299663,9606,Homo sapiens,CLEC4E,"C-type lectin domain family 4 member E; A calcium-dependent lectin that acts as a pattern recognition receptor of the innate immune system. Recognizes damage-associated molecular patterns (DAMPs) of abnormal self and pathogen-associated molecular patterns (PAMPs) of bacteria and fungi. The PAMPs notably include mycobacterial trehalose 6,6'-dimycolate (TDM), a cell wall glycolipid with potent adjuvant immunomodulatory functions. Interacts with signaling adapter Fc receptor gamma chain/FCER1G to form a functional complex in myeloid cells. Binding of mycobacterial trehalose 6,6'-dimycolat [...] ",robust_mrna_strict
CLIC6,55,9606.ENSP00000353959,9606,Homo sapiens,CLIC6,"Chloride intracellular channel protein 6; May insert into membranes and form chloride ion channels. May play a critical role in water-secreting cells, possibly through the regulation of chloride ion transport (By similarity).",robust_mrna_strict
CNTN3,56,9606.ENSP00000263665,9606,Homo sapiens,CNTN3,Contactin-3; Contactins mediate cell surface interactions during nervous system development. Has some neurite outgrowth-promoting activity (By similarity); Belongs to the immunoglobulin superfamily. Contactin family.,robust_mrna_strict
COL14A1,57,9606.ENSP00000297848,9606,Homo sapiens,COL14A1,"Collagen alpha-1(XIV) chain; Plays an adhesive role by integrating collagen bundles. It is probably associated with the surface of interstitial collagen fibrils via COL1. The COL2 domain may then serve as a rigid arm which sticks out from the fibril and protrudes the large N-terminal globular domain into the extracellular space, where it might interact with other matrix molecules or cell surface receptors (By similarity).",robust_mrna_strict
COL15A1,58,9606.ENSP00000364140,9606,Homo sapiens,COL15A1,"Collagen alpha-1(XV) chain; Structural protein that stabilizes microvessels and muscle cells, both in heart and in skeletal muscle.",robust_mrna_strict
COL17A1,59,9606.ENSP00000497653,9606,Homo sapiens,COL17A1,120 kDa linear IgA disease antigen; May play a role in the integrity of hemidesmosome and the attachment of basal keratinocytes to the underlying basement membrane.,robust_mrna_strict
COL1A1,60,9606.ENSP00000225964,9606,Homo sapiens,COL1A1,Collagen alpha-1(I) chain; Type I collagen is a member of group I collagen (fibrillar forming collagen).,robust_mrna_strict
COL1A2,61,9606.ENSP00000297268,9606,Homo sapiens,COL1A2,Collagen alpha-2(I) chain; Type I collagen is a member of group I collagen (fibrillar forming collagen); Belongs to the fibrillar collagen family.,robust_mrna_strict
COL3A1,62,9606.ENSP00000304408,9606,Homo sapiens,COL3A1,Collagen alpha-1(III) chain; Collagen type III occurs in most soft connective tissues along with type I collagen. Involved in regulation of cortical development. Is the major ligand of ADGRG1 in the developing brain and binding to ADGRG1 inhibits neuronal migration and activates the RhoA pathway by coupling ADGRG1 to GNA13 and possibly GNA12.,robust_mrna_strict
COL6A3,63,9606.ENSP00000295550,9606,Homo sapiens,COL6A3,Collagen alpha-3(VI) chain; Collagen VI acts as a cell-binding protein.,robust_mrna_strict
COMP,64,9606.ENSP00000222271,9606,Homo sapiens,COMP,Cartilage oligomeric matrix protein; May play a role in the structural integrity of cartilage via its interaction with other extracellular matrix proteins such as the collagens and fibronectin. Can mediate the interaction of chondrocytes with the cartilage extracellular matrix through interaction with cell surface integrin receptors. Could play a role in the pathogenesis of osteoarthritis. Potent suppressor of apoptosis in both primary chondrocytes and transformed cells. Suppresses apoptosis by blocking the activation of caspase-3 and by inducing the IAP family of survival proteins (BI [...] ,robust_mrna_strict
CP,65,9606.ENSP00000264613,9606,Homo sapiens,CP,"Ceruloplasmin; Ceruloplasmin is a blue, copper-binding (6-7 atoms per molecule) glycoprotein. It has ferroxidase activity oxidizing Fe(2+) to Fe(3+) without releasing radical oxygen species. It is involved in iron transport across the cell membrane. Provides Cu(2+) ions for the ascorbate-mediated deaminase degradation of the heparan sulfate chains of GPC1. May also play a role in fetal lung development or pulmonary antioxidant defense (By similarity).",robust_mrna_strict
CPA3,66,9606.ENSP00000296046,9606,Homo sapiens,CPA3,Carboxypeptidase A3.,robust_mrna_strict
CPB2,67,9606.ENSP00000181383,9606,Homo sapiens,CPB2,Carboxypeptidase B2; Cleaves C-terminal arginine or lysine residues from biologically active peptides such as kinins or anaphylatoxins in the circulation thereby regulating their activities. Down-regulates fibrinolysis by removing C-terminal lysine residues from fibrin that has already been partially degraded by plasmin. Belongs to the peptidase M14 family.,robust_mrna_strict
CRISPLD1,68,9606.ENSP00000262207,9606,Homo sapiens,CRISPLD1,Cysteine rich secretory protein LCCL domain containing 1; Belongs to the CRISP family.,robust_mrna_strict
CRTAC1,69,9606.ENSP00000359629,9606,Homo sapiens,CRTAC1,Cartilage acidic protein 1.,robust_mrna_strict
CSF3R,70,9606.ENSP00000362195,9606,Homo sapiens,CSF3R,"Granulocyte colony-stimulating factor receptor; Receptor for granulocyte colony-stimulating factor (CSF3), essential for granulocytic maturation. Plays a crucial role in the proliferation, differientation and survival of cells along the neutrophilic lineage. In addition it may function in some adhesion or recognition events at the cell surface.",robust_mrna_strict
CTSK,71,9606.ENSP00000271651,9606,Homo sapiens,CTSK,Cathepsin K; Thiol protease involved in osteoclastic bone resorption and may participate partially in the disorder of bone remodeling. Displays potent endoprotease activity against fibrinogen at acid pH. May play an important role in extracellular matrix degradation. Involved in the release of thyroid hormone thyroxine (T4) by limited proteolysis of TG/thyroglobulin in the thyroid follicle lumen.,robust_mrna_strict
CWH43,72,9606.ENSP00000226432,9606,Homo sapiens,CWH43,PGAP2-interacting protein; Involved in lipid remodeling during GPI-anchor maturation.,robust_mrna_strict
CXCL13,73,9606.ENSP00000286758,9606,Homo sapiens,CXCL13,"C-X-C motif chemokine 13; Chemotactic for B-lymphocytes but not for T-lymphocytes, monocytes and neutrophils. Does not induce calcium release in B- lymphocytes. Binds to BLR1/CXCR5.",robust_mrna_strict
CXCL14,74,9606.ENSP00000337065,9606,Homo sapiens,CXCL14,"C-X-C motif chemokine 14; Potent chemoattractant for neutrophils, and weaker for dendritic cells. Not chemotactic for T-cells, B-cells, monocytes, natural killer cells or granulocytes. Does not inhibit proliferation of myeloid progenitors in colony formation assays.",robust_mrna_strict
CYP24A1,75,9606.ENSP00000216862,9606,Homo sapiens,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial; A cytochrome P450 monooxygenase with a key role in vitamin D catabolism and calcium homeostasis. Via C24- and C23-oxidation pathways, catalyzes the inactivation of both the vitamin D precursor calcidiol (25-hydroxyvitamin D(3)) and the active hormone calcitriol (1-alpha,25-dihydroxyvitamin D(3)). With initial hydroxylation at C-24 (via C24-oxidation pathway), performs a sequential 6-step oxidation of calcitriol leading to the formation of the biliary metabolite calcitroic acid. With initial hydroxylation at C-23 (via C23-oxidati [...] ",robust_mrna_strict
DCDC1,76,9606.ENSP00000385936,9606,Homo sapiens,DCDC1,Doublecortin domain-containing protein 1; Microtubule-binding protein which plays an important role in mediating dynein-dependent transport of RAB8A-positive vesicles to the midbody during cytokinesis.,robust_mrna_strict
DCLK1,77,9606.ENSP00000353846,9606,Homo sapiens,DCLK1,Serine/threonine-protein kinase DCLK1; Probable kinase that may be involved in a calcium-signaling pathway controlling neuronal migration in the developing brain. May also participate in functions of the mature nervous system; Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily.,robust_mrna_strict
DES,78,9606.ENSP00000363071,9606,Homo sapiens,DES,"Desmin; Muscle-specific type III intermediate filament essential for proper muscular structure and function. Plays a crucial role in maintaining the structure of sarcomeres, inter-connecting the Z-disks and forming the myofibrils, linking them not only to the sarcolemmal cytoskeleton, but also to the nucleus and mitochondria, thus providing strength for the muscle fiber during activity. In adult striated muscle they form a fibrous network connecting myofibrils to each other and to the plasma membrane from the periphery of the Z- line structures. May act as a sarcomeric microtubule-anch [...] ",robust_mrna_strict
DIO2,79,9606.ENSP00000451419,9606,Homo sapiens,DIO2,"Type II iodothyronine deiodinase; Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) into T3 (3,5,3'-triiodothyronine). Essential for providing the brain with appropriate levels of T3 during the critical period of development.",robust_mrna_strict
DNAAF1,80,9606.ENSP00000367815,9606,Homo sapiens,DNAAF1,"Dynein assembly factor 1, axonemal; Cilium-specific protein required for the stability of the ciliary architecture. Plays a role in cytoplasmic preassembly of dynein arms. Involved in regulation of microtubule-based cilia and actin-based brush border microvilli.",robust_mrna_strict
DNAH10,81,9606.ENSP00000489675,9606,Homo sapiens,DNAH10,"Dynein heavy chain 10, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Involved in sperm motility; implicated in sperm flagellar assembly (By similarity). Probable inner arm dynein heavy chain.",robust_mrna_strict
DNAH12,82,9606.ENSP00000312554,9606,Homo sapiens,DNAH12,"Dynein heavy chain 12, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Involved in sperm motility; implicated in sperm flagellar assembly (By similarity).",robust_mrna_strict
DNAH3,83,9606.ENSP00000261383,9606,Homo sapiens,DNAH3,"Dynein heavy chain 3, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Involved in sperm motility; implicated in sperm flagellar assembly (By similarity); Belongs to the dynein heavy chain family.",robust_mrna_strict
DNAH5,84,9606.ENSP00000265104,9606,Homo sapiens,DNAH5,"Dynein heavy chain 5, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Required for structural and functional integrity of the cilia of ependymal cells lining the brain ventricles.",robust_mrna_strict
DNAH6,85,9606.ENSP00000374045,9606,Homo sapiens,DNAH6,"Dynein heavy chain 6, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP (By similarity); Belongs to the dynein heavy chain family.",robust_mrna_strict
DNAH7,86,9606.ENSP00000311273,9606,Homo sapiens,DNAH7,"Dynein heavy chain 7, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP (By similarity).",robust_mrna_strict
DNAH9,87,9606.ENSP00000262442,9606,Homo sapiens,DNAH9,"Dynein heavy chain 9, axonemal; Force generating protein required for cilia beating in respiratory epithelia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP.",robust_mrna_strict
DNAI1,88,9606.ENSP00000480538,9606,Homo sapiens,DNAI1,"Dynein intermediate chain 1, axonemal; Part of the dynein complex of respiratory cilia; Belongs to the dynein intermediate chain family.",robust_mrna_strict
DRC1,89,9606.ENSP00000288710,9606,Homo sapiens,DRC1,Dynein regulatory complex protein 1; Component of the nexin-dynein regulatory complex (N-DRC) a key regulator of ciliary/flagellar motility which maintains the alignment and integrity of the distal axoneme and regulates microtubule sliding in motile axonemes (By similarity). Plays a critical role in the assembly of N-DRC and also stabilizes the assembly of multiple inner dynein arms and radial spokes. Coassembles with CCDC65/DRC2 to form a central scaffold needed for assembly of the N-DRC and its attachment to the outer doublet microtubules. Belongs to the DRC1 family.,robust_mrna_strict
DSC3,90,9606.ENSP00000353608,9606,Homo sapiens,DSC3,Desmocollin-3; Component of intercellular desmosome junctions. Involved in the interaction of plaque proteins and intermediate filaments mediating cell-cell adhesion. May contribute to epidermal cell positioning (stratification) by mediating differential adhesiveness between cells that express different isoforms.,robust_mrna_strict
DTHD1,91,9606.ENSP00000401597,9606,Homo sapiens,DTHD1,Death domain containing 1.,robust_mrna_strict
